Colony Number,Identification,Sample ID,Mouse ID,Tissue,Media,Treatment
1,C3L Co Mac 1,C3L_CO_MAC1_S12,C3L,CO,MAC,Treated
2,C4L I Mac1,C4L_I_MAC1_S287,C4L,I,MAC,Treated
3,C4L I Mac2,C4L_I_MAC2_S171,C4L,I,MAC,Treated
4,C3L Co TSA1 ,C3L_CO_TSA1_S7,C3L,CO,TSA,Treated
5,C3L Co TSA2,C3L_CO_TSA2_S172,C3L,CO,TSA,Treated
6,C3L Co TSA3,C3L_CO_TSA3_S173,C3L,CO,TSA,Treated
7,C3L Co TSA4,C3L_CO_TSA4_S174,C3L,CO,TSA,Treated
8,C4L I TSA1,C4L_I_TSA1_S8,C4L,I,TSA,Treated
9,C4L I TSA2,C4L_I_TSA2_S175,C4L,I,TSA,Treated
10,C4L I TSA3,C4L_I_TSA3_S176,C4L,I,TSA,Treated
11,C4R I TSA2,C4R_I_TSA2_S177,C4L,I,TSA,Treated
12,C3N Co LB4,C3N_CO_LB5-1_S178,C3N,CO,LB,Treated
13,C3N Co LB5,C3N_CO_LB5-2_S179,C3N,CO,LB,Treated
14,C3R C LB,C3R_C_LB_S180,C3R,C,LB,Treated
15,C4N Co LB,C4N_CO_LB_S181,C4N,CO,LB,Treated
16,C4N I,C4N_I_LB_S182,C4N,I,LB,Treated
17,C3N Co LB1,C3N_CO_LB1_S183,C3N,CO,LB,Treated
18,C3N Co LB2,C3N_CO_LB2_S184,C3N,CO,LB,Treated
19,C3N Co LB3,C3N_CO_LB3_S185,C3N,CO,LB,Treated
20,C3L Co LB 5,C3L_CO_LB5_S186,C3L,CO,LB,Treated
21,C3L Co LB 6,C3L_CO_LB6_S187,C3L,CO,LB,Treated
22,C3L Co LB 7,C3L_CO_LB7_S188,C3L,CO,LB,Treated
23,C3L Co LB 8,C3L_CO_LB8_S189,C3L,CO,LB,Treated
24,C3L Co LB1,C3L_CO_LB2_S190,C3L,CO,LB,Treated
25,C3L Co LB8,C4L_I_TSA4_S217,C4L,I,TSA,Treated
26,C3L Co LB3,C3L_CO_LB3_S191,C3L,CO,LB,Treated
27,C3L Co LB4,C3L_CO_LB4_S192,C3L,CO,LB,Treated
28,C3N C LB3,C3N_C_LB3_S193,C3N,C,LB,Treated
29,C3N C LB4,C3N_C_LB4_S194,C3N,C,LB,Treated
30,C3N C LB5,C3N_C_LB5_S195,C3N,C,LB,Treated
31,C3N I LB1,C3N_I_LB1_S196,C3N,I,LB,Treated
32,C3N Co LB6,C3N_CO_LB6_S197,C3N,CO,LB,Treated
33,C3N Co LB7,C3N_CO_LB7_S198,C3N,CO,LB,Treated
34,C3N C LB1,C3N_C_LB1_S199,C3N,C,LB,Treated
35,C3N C LB2,C3N_C_LB2_S200,C3N,C,LB,Treated
36,C3L I LB4,C3L_I_LB4_S201,C3L,I,LB,Treated
37,C3L I LB5,C3L_I_LB5_S202,C3L,I,LB,Treated
38,C3L I LB6,C3L_I_LB6_S203,C3L,I,LB,Treated
39,C4L I LB6,C4L_I_LB6_S204,C4L,I,LB,Treated
40,C4L I LB7,C4L_I_LB7_S205,C4L,I,LB,Treated
41,C3L I LB1,C3L_I_LB1_S206,C3L,I,LB,Treated
42,C3L I LB2,C3L_I_LB2_S207,C3L,I,LB,Treated
43,C3L I LB3,C3L_I_LB3_S208,C3L,I,LB,Treated
44,C3N C TSA1,C3N_C_TSA1-1_S209,C3N,C,TSA,Treated
45,C3N Co TSA3,C3N_CO_TSA3_S210,C3N,CO,TSA,Treated
46,C3N Co TSA2,C3N_CO_TSA2_S211,C3N,CO,TSA,Treated
47,C3N Co TSA1,C3N_CO_TSA1_S212,C3N,CO,TSA,Treated
48,C3N I TSA1,C3N_I_TSA1_S213,C3N,I,TSA,Treated
49,C3N I TSA2,C3N_I_TSA2_S214,C3N,I,TSA,Treated
50,C4R I TSA1,C4R_I_TSA1_S215,C4R,I,TSA,Treated
51,C3N C TSA2,C3N_C_TSA1-2_S216,C3N,C,TSA,Treated
52,C4L I TSA1,C4L_I_TSA1_S8,C4L,I,TSA,Treated
53,C4L I TSA5,C4L_I_TSA5_S218,C4L,I,TSA,Treated
54,C4L I TSA6,C4L_I_TSA6_S219,C4L,I,TSA,Treated
55,C4L I TSA7,C4L_I_TSA7_S220,C4L,I,TSA,Treated
56,C4R C LB,C4R_C_LB_S221,C4R,C,LB,Treated
57,C3N I LB2,C3N_I_LB2_S222,C3N,I,LB,Treated
58,C4L C LB1,C4L_C_LB1_S223,C4L,C,LB,Treated
59,C4L C LB2,C4L_C_LB2_S224,C4L,C,LB,Treated
60,C4R I LB1,C4R_I_LB1_S226,C4R,I,LB,Treated
61,C4R I LB2,C4R_I_LB2-1_S225,C4R,I,LB,Treated
62,C4R I LB3,C4R_I_LB3_S227,C4R,I,LB,Treated
