,days,variable,value,condition
0,0,untreated_mouse1,587,untreated
1,1,untreated_mouse1,491,untreated
2,2,untreated_mouse1,579,untreated
3,3,untreated_mouse1,1505,untreated
4,4,untreated_mouse1,311,untreated
5,5,untreated_mouse1,432,untreated
6,6,untreated_mouse1,485,untreated
7,7,untreated_mouse1,383,untreated
8,0,untreated_mouse2,298,untreated
9,1,untreated_mouse2,191,untreated
10,2,untreated_mouse2,240,untreated
11,3,untreated_mouse2,345,untreated
12,4,untreated_mouse2,198,untreated
13,5,untreated_mouse2,210,untreated
14,6,untreated_mouse2,252,untreated
15,7,untreated_mouse2,169,untreated
16,0,untreated_mouse3,211,untreated
17,1,untreated_mouse3,347,untreated
18,2,untreated_mouse3,277,untreated
19,3,untreated_mouse3,224,untreated
20,4,untreated_mouse3,246,untreated
21,5,untreated_mouse3,271,untreated
22,6,untreated_mouse3,208,untreated
23,7,untreated_mouse3,227,untreated
24,0,untreated_mouse4,299,untreated
25,1,untreated_mouse4,561,untreated
26,2,untreated_mouse4,332,untreated
27,3,untreated_mouse4,419,untreated
28,4,untreated_mouse4,264,untreated
29,5,untreated_mouse4,128,untreated
30,6,untreated_mouse4,313,untreated
31,7,untreated_mouse4,281,untreated
32,0,untreated_mouse5,489,untreated
33,1,untreated_mouse5,517,untreated
34,2,untreated_mouse5,357,untreated
35,3,untreated_mouse5,722,untreated
36,4,untreated_mouse5,606,untreated
37,5,untreated_mouse5,565,untreated
38,6,untreated_mouse5,341,untreated
39,7,untreated_mouse5,216,untreated
40,0,untreated_mouse6,631,untreated
41,1,untreated_mouse6,416,untreated
42,2,untreated_mouse6,314,untreated
43,3,untreated_mouse6,444,untreated
44,4,untreated_mouse6,422,untreated
45,5,untreated_mouse6,413,untreated
46,6,untreated_mouse6,510,untreated
47,7,untreated_mouse6,317,untreated
48,0,cefepime_treated_mouse_7,400,cefepime_treated
49,1,cefepime_treated_mouse_7,244,cefepime_treated
50,2,cefepime_treated_mouse_7,172,cefepime_treated
51,3,cefepime_treated_mouse_7,196,cefepime_treated
52,4,cefepime_treated_mouse_7,79,cefepime_treated
53,5,cefepime_treated_mouse_7,156,cefepime_treated
54,6,cefepime_treated_mouse_7,195,cefepime_treated
55,7,cefepime_treated_mouse_7,167,cefepime_treated
56,0,cefepime_treated_mouse_8,481,cefepime_treated
57,1,cefepime_treated_mouse_8,242,cefepime_treated
58,2,cefepime_treated_mouse_8,209,cefepime_treated
59,3,cefepime_treated_mouse_8,220,cefepime_treated
60,4,cefepime_treated_mouse_8,80,cefepime_treated
61,5,cefepime_treated_mouse_8,105,cefepime_treated
62,6,cefepime_treated_mouse_8,91,cefepime_treated
63,7,cefepime_treated_mouse_8,114,cefepime_treated
64,0,cefepime_treated_mouse_9,334,cefepime_treated
65,1,cefepime_treated_mouse_9,422,cefepime_treated
66,2,cefepime_treated_mouse_9,229,cefepime_treated
67,3,cefepime_treated_mouse_9,132,cefepime_treated
68,4,cefepime_treated_mouse_9,130,cefepime_treated
69,5,cefepime_treated_mouse_9,177,cefepime_treated
70,6,cefepime_treated_mouse_9,102,cefepime_treated
71,7,cefepime_treated_mouse_9,130,cefepime_treated
72,0,cefepime_treated_mouse_10,353,cefepime_treated
73,1,cefepime_treated_mouse_10,260,cefepime_treated
74,2,cefepime_treated_mouse_10,244,cefepime_treated
75,3,cefepime_treated_mouse_10,181,cefepime_treated
76,4,cefepime_treated_mouse_10,180,cefepime_treated
77,5,cefepime_treated_mouse_10,262,cefepime_treated
78,6,cefepime_treated_mouse_10,252,cefepime_treated
79,7,cefepime_treated_mouse_10,176,cefepime_treated
80,0,cefepime_treated_mouse_11,426,cefepime_treated
81,1,cefepime_treated_mouse_11,783,cefepime_treated
82,2,cefepime_treated_mouse_11,268,cefepime_treated
83,3,cefepime_treated_mouse_11,197,cefepime_treated
84,4,cefepime_treated_mouse_11,157,cefepime_treated
85,5,cefepime_treated_mouse_11,593,cefepime_treated
86,6,cefepime_treated_mouse_11,154,cefepime_treated
87,7,cefepime_treated_mouse_11,218,cefepime_treated
88,0,cefepime_treated_mouse_12,329,cefepime_treated
89,1,cefepime_treated_mouse_12,115,cefepime_treated
90,2,cefepime_treated_mouse_12,75,cefepime_treated
91,3,cefepime_treated_mouse_12,93,cefepime_treated
92,4,cefepime_treated_mouse_12,121,cefepime_treated
93,5,cefepime_treated_mouse_12,140,cefepime_treated
94,6,cefepime_treated_mouse_12,85,cefepime_treated
95,7,cefepime_treated_mouse_12,165,cefepime_treated
